Nummer;Navn;Antall;
192;Holen;2164;
193;Stene;2161;
194;Fosse;2141;
195;Helle;2140;
196;Langeland;2127;
197;Kvamme;2121;
198;Sletten;2110;
199;Borgen;2108;
200;Skoglund;2097;
201;Petersen;2096;
202;Haugan;2095;
203;Kleven;2071;
204;Lind;2047;
205;Arntsen;2044;
206;Løkken;2036;
207;Markussen;2032;
208;Tønnessen;2028;
209;Mæland;2025;
210;Lian;1993;
211;Hole;1989;
212;Stensrud;1988;
213;Arntzen;1985;
214;Østby;1976;
215;Aamodt;1957;
216;Nordli;1939;
217;Solem;1924;
218;Røed;1916;
219;Tvedt;1912;
220;Myrvang;1909;
221;Vold;1882;
222;Berget;1873;
223;Børresen;1872;
224;Ellefsen;1871;
225;Husby;1865;
226;Davidsen;1860;
227;Hetland;1855;
228;Eggen;1852;
229;Skaar;1841;
230;Kleppe;1841;
231;Syvertsen;1839;
232;Mohammed;1839;
233;Nesse;1838;
234;Ness;1818;
235;Simensen;1817;
236;Abdi;1811;
237;Gran;1810;
238;Ibrahim;1809;
239;Smith;1798;
240;Meyer;1782;
241;Finstad;1778;
242;Marthinsen;1775;
243;Sund;1765;
244;Stenberg;1762;
245;Olaussen;1747;
246;Norheim;1745;
247;Fjeldstad;1744;
248;Reitan;1733;
249;Le;1721;
250;Hussain;1720;
251;Brevik;1706;
252;Bjelland;1706;
253;Ahmad;1704;
254;Meland;1682;
255;Skaug;1668;
256;Larssen;1667;
257;Holte;1665;
258;Espeland;1665;
259;Gjertsen;1662;
260;Krogstad;1661;
261;Riise;1659;
262;Bolstad;1646;
263;Klausen;1645;
264;Lindberg;1639;
265;Solhaug;1626;
266;Nilsson;1616;
267;Waage;1601;
268;Nordbø;1601;
269;Mo;1597;
270;Lauritzen;1589;
271;Farstad;1589;
272;Aasheim;1583;
273;Grande;1582;
274;Grimstad;1580;
275;Olafsen;1578;
276;Krogh;1577;
277;Rustad;1575;
278;Holt;1575;
279;Vatne;1568;
280;Endresen;1558;
281;Bergersen;1556;
282;Opsahl;1553;
283;Bendiksen;1553;
284;Øverland;1551;
285;Myrvold;1548;
286;Larsson;1545;
287;Gulliksen;1544;
288;Thorvaldsen;1543;
289;Hussein;1536;
290;Thorstensen;1529;
291;Stangeland;1525;
292;Salvesen;1521;
293;Nyborg;1519;
294;Nordvik;1510;
295;Normann;1500;
296;Rød;1497;
297;Sørli;1496;
298;Nyhus;1493;
299;Bredesen;1486;
300;Frantzen;1484;
301;Thorbjørnsen;1474;
302;Nordahl;1472;
303;Singh;1469;
304;Ringstad;1460;
305;Steffensen;1455;
306;Bjørnsen;1450;
307;Hjelle;1447;
308;Lervik;1443;
309;Haraldsen;1442;
310;Mork;1440;
311;Sørum;1438;
312;Melby;1437;
313;Eriksson;1436;
314;Holter;1434;
315;Skogen;1417;
316;Karlsson;1410;
317;Mathiesen;1407;
318;Nes;1404;
319;Hovde;1404;
320;Mørk;1398;
321;Opheim;1397;
322;Christoffersen;1390;
323;Skår;1389;
324;Ramstad;1388;
325;Håkonsen;1385;
326;Økland;1372;
327;Lande;1370;
328;Stenersen;1367;
329;Skeie;1354;
330;Erlandsen;1353;
331;Vangen;1352;
332;Omar;1351;
333;Fredheim;1349;
334;Øyen;1347;
335;Sundby;1347;
336;Braathen;1346;
337;Bugge;1343;
338;Guttormsen;1341;
339;Volden;1330;
340;Holst;1325;
341;Bergan;1322;
342;Ask;1322;
343;Robertsen;1318;
344;Høyland;1311;
345;Kaspersen;1307;
346;Lundberg;1302;
347;Hope;1297;
348;Bang;1297;
349;Bjørge;1290;
350;Nymoen;1288;
351;Bjørklund;1286;
352;Johnsrud;1282;
353;Olsson;1280;
354;Martinussen;1278;
355;Våge;1275;
356;Rørvik;1272;
357;Michelsen;1263;
358;Aronsen;1263;
359;Wiig;1262;
360;Pham;1262;
361;Berglund;1253;
362;Hovden;1249;
363;Lid;1235;
364;Dahlen;1222;
365;Strømmen;1216;
366;Strømme;1215;
367;Holthe;1212;
368;Grønvold;1210;
369;Tobiassen;1209;
370;Seim;1207;
371;Ervik;1203;
372;Kleiven;1196;
373;Clausen;1192;
374;Skjæveland;1190;
375;Søvik;1187;
376;Osman;1187;
377;Sæbø;1185;
378;Nicolaisen;1182;
379;Tveiten;1181;
380;Solstad;1181;
381;Askeland;1181;
382;Skogstad;1179;
383;Skar;1177;
384;Meling;1174;
385;Løland;1172;
386;Kaur;1171;
387;Benjaminsen;1168;
388;Sagen;1165;
389;Engh;1164;
390;Bekkevold;1162;
391;Gravdal;1161;
392;Nyheim;1160;
393;Nordal;1160;
394;Austad;1157;
395;Rogne;1154;
396;Stensland;1149;
397;Nyland;1147;
398;Vinje;1134;
399;Iqbal;1133;
400;Steinsland;1131;
401;Lauritsen;1130;
402;Øvrebø;1129;
403;Borgersen;1126;
404;Ramberg;1125;
405;Bertelsen;1122;
406;Bentsen;1120;
407;Lyngstad;1117;
408;Didriksen;1115;
409;Thorkildsen;1114;
410;Olstad;1113;
411;Svensson;1110;
412;Nesheim;1110;
413;Enoksen;1108;
414;Nordgård;1107;
415;Langseth;1107;
416;Jørstad;1105;
417;Ingvaldsen;1105;
418;Persson;1104;
419;Schei;1103;
420;Bekken;1101;
421;Frydenlund;1100;
422;Winther;1099;
423;Brenden;1099;
424;Barstad;1095;
425;Lia;1093;
426;Odden;1087;
427;Norum;1078;
428;Thomsen;1065;
429;Evjen;1065;
430;Tandberg;1064;
431;Midtbø;1057;
432;Huse;1057;
433;Eidem;1053;
434;Førde;1052;
435;Hoem;1049;
436;Heimdal;1045;
437;Haugerud;1044;
438;Sæter;1043;
439;Lange;1043;
440;Alstad;1043;
441;Aasland;1042;
442;Fossen;1039;
443;Stenseth;1038;
444;Nordheim;1038;
445;Ueland;1036;
446;Handeland;1036;
447;Bergh;1036;
448;Fagerli;1035;
449;Hopland;1034;
450;Huseby;1033;
451;Heggelund;1033;
452;Korneliussen;1032;
453;Svensen;1030;
454;Horn;1029;
455;Gilje;1028;
456;Aslaksen;1026;
457;Nicolaysen;1024;
458;Almås;1021;
459;Sollie;1019;
460;Gjerstad;1019;
461;Westby;1016;
462;Kvalheim;1014;
463;Bergli;1014;
464;Brun;1013;
465;Blindheim;1013;
466;Bruun;1011;
467;Berntzen;1008;
468;Øye;1002;
469;Hågensen;995;
470;Øverby;993;
471;Myren;992;
472;Furnes;988;
473;Reiersen;987;
474;Lorentsen;987;
475;Lystad;986;
476;Lohne;986;
477;Holten;985;
478;Brenna;985;
479;Granli;982;
480;Tønnesen;981;
481;Hustad;978;
482;Skog;974;
483;Nergård;973;
484;Hove;973;
485;Selnes;972;
486;Gregersen;971;
487;Sørheim;968;
488;Liland;965;
489;Totland;964;
490;Blom;963;
491;Bergheim;963;
492;Torsvik;961;
493;Bjørndal;960;
494;Nerland;959;
495;Åsheim;958;
496;Flaten;957;
497;Grindheim;956;
498;Mathiassen;955;
499;Aksnes;954;
500;Sundal;953;
501;Østrem;951;
502;Trondsen;951;
503;Vågen;950;
504;Kjær;950;
505;Bergum;949;
506;Sjursen;948;
507;Voll;946;
508;Helgeland;945;
509;Bratland;945;
510;Standal;943;
511;Mjelde;942;
512;Østensen;941;
513;Undheim;935;
514;Hvidsten;935;
515;Wahl;934;
516;Rygh;934;
517;Nordhagen;934;
518;Eng;934;
519;Dybvik;934;
520;Akselsen;933;
521;Wik;932;
522;Storvik;931;
523;Falch;930;
524;Nyberg;928;
525;Toft;927;
526;Einarsen;927;
527;Solum;925;
528;Løvås;924;
529;Bjerknes;922;
530;Morken;921;
531;Adolfsen;919;
532;Hillestad;918;
533;Bårdsen;917;
534;Storhaug;915;
535;Aarseth;914;
536;Sandal;912;
537;Nystad;912;
538;Ingebretsen;912;
539;Lothe;908;
540;Matre;905;
541;Eik;904;
542;Ryen;903;
543;Furuseth;903;
544;Stølen;900;
545;Grønli;899;
546;Bergstrøm;899;
547;Akhtar;896;
548;Hofstad;895;
549;Rusten;894;
550;Engan;890;
551;Wangen;886;
552;Oftedal;886;
553;Sæthre;885;
554;Erichsen;883;
555;Ovesen;881;
556;Kaasa;881;
557;Skretting;880;
558;Haldorsen;877;
559;Røstad;873;
560;Reinertsen;871;
561;Alvestad;871;
562;Løvik;868;
563;Straume;867;
564;Haugstad;866;
565;Kvalvik;865;
566;Førland;865;
567;Haukås;864;
568;Ulriksen;859;
569;Kvåle;859;
570;Herland;856;
571;Aakre;856;
572;Espedal;855;
573;Braaten;855;
574;Eikrem;853;
575;Asbjørnsen;850;
576;Skogheim;849;
577;Olufsen;849;
578;Fjellheim;849;
579;Josefsen;848;
580;Husebø;848;
581;Holstad;848;
582;Moland;847;
583;Hernes;847;
584;Salte;843;
585;Nesset;843;
586;Lindseth;841;
587;Schmidt;840;
588;Omdal;840;
589;Malik;840;
590;Forsberg;839;
591;Nordstrand;838;
592;Tronstad;836;
593;Ismail;836;
594;Høvik;835;
595;Haagensen;833;
596;Tellefsen;831;
597;Valle;829;
598;Lindgren;829;
599;Bjerkan;829;
600;Michaelsen;826;
601;Huynh;824;
602;Myhren;823;
603;Anderssen;823;
604;Hals;821;
605;Rostad;819;
606;Brustad;819;
607;Strømsnes;818;
608;Røe;818;
609;Ravndal;817;
610;Myller;817;
611;Johnson;815;
612;Byberg;815;
613;Storli;814;
614;Holand;813;
615;Valen;811;
616;Jonsson;810;
617;Øygarden;809;
618;Holth;808;
619;Nylund;807;
620;Lindstad;806;
621;Fjellstad;805;
622;Rygg;804;
623;Lier;800;
624;Søberg;798;
625;Butt;797;
626;Vollan;795;
627;Fagerheim;795;
628;Bentzen;795;
629;Vikan;794;
630;Sanden;793;
631;Ekeberg;793;
632;Egge;793;
633;Stubberud;790;
634;Skare;788;
635;Sæle;787;
636;Grønning;787;
637;Corneliussen;785;
638;Kroken;784;
639;Jama;783;
640;Bjørke;783;
641;Mørch;780;
642;Vedvik;779;
643;Øen;778;
644;Mohamud;778;
645;Løvdal;778;
646;Steine;773;
647;Sannes;773;
648;Kopperud;773;
649;Hansson;773;
650;Søyland;772;
651;Stokka;772;
652;Holme;772;
653;Mohammad;770;
654;Høiland;770;
655;Holtan;770;
656;Løseth;769;
657;Brandal;769;
658;Sundt;768;
659;Amdal;766;
660;Walle;765;
661;Beck;765;
662;Riis;763;
663;Omland;763;
664;Juliussen;763;
665;Yusuf;760;
666;Løberg;760;
667;Fossheim;759;
668;Bekkelund;758;
669;Brandt;757;
670;Aga;757;
671;Nybø;756;
672;Fjell;755;
673;Moberg;754;
674;Li;754;
675;Fjørtoft;754;
676;Tveter;752;
677;Farah;752;
678;Hodne;751;
679;Buer;751;
680;Gaustad;748;
681;Stormo;747;
682;Albertsen;745;
683;Holtet;744;
684;Fauske;744;
685;Skaret;741;
686;Torkildsen;739;
687;Erstad;739;
688;Dokken;739;
689;Giske;738;
690;Mahmood;737;
691;Stokkeland;736;
692;Albrigtsen;735;
693;Severinsen;734;
694;Angell;734;
695;Schjølberg;733;
696;Roland;733;
697;Hellerud;733;
698;Risa;730;
699;Persen;729;
700;Begum;729;
701;Rosland;728;
702;Wathne;726;
703;Lillebø;726;
704;Lea;726;
705;Henden;723;
706;Kvammen;722;
707;Helmersen;721;
708;Bratlie;721;
709;Borg;721;
710;Leirvik;720;
711;Erdal;720;
712;Sharma;719;
713;Hov;718;
714;Olaisen;716;
715;Salomonsen;715;
716;Melhus;715;
717;Myrland;713;
718;Richardsen;710;
719;Granheim;710;
720;Bull;710;
721;Halland;709;
722;Heggen;707;
723;Hegge;707;
724;Teigland;705;
725;Bergesen;705;
726;Brenne;704;
727;Birkelund;704;
728;Øren;703;
729;Rise;702;
730;Bertheussen;700;
731;Høie;698;
732;Hage;698;
733;Myhr;697;
734;Nordnes;696;
735;Berentsen;695;
736;Heitmann;693;
737;Linnerud;689;
738;Holden;687;
739;Rabben;685;
740;Haukeland;685;
741;Gjesdal;685;
742;Bjordal;685;
743;Rønneberg;684;
744;Netland;684;
745;Sundet;683;
746;Sandøy;679;
747;Lindstrøm;679;
748;Risnes;678;
749;Ringen;677;
750;Abdullahi;677;
751;Bech;676;
752;Drange;675;
753;Rosseland;674;
754;Hauger;673;
755;Abelsen;673;
756;Vo;672;
757;Lunden;671;
758;Granum;671;
759;Rødland;669;
760;Ringdal;669;
761;Alme;669;
762;Refsnes;668;
763;Oppedal;667;
764;Utne;666;
765;Heggem;666;
766;Vang;665;
767;Vestli;663;
768;Sandvold;663;
769;Dahlberg;663;
770;Nakken;662;
771;Bøhn;662;
772;Anderson;662;
773;Aaserud;662;
774;Søreide;661;
775;Ahmadi;661;
776;Skogli;660;
777;Gjelsvik;660;
778;Rye;659;
779;Ree;658;
780;Blix;658;
781;Søreng;656;
782;Schrøder;655;
783;Karlstad;654;
784;Sylte;651;
785;Kittelsen;651;
786;Stien;650;
787;Eie;650;
788;Myrseth;649;
789;Green;649;
790;Enge;649;
791;Stang;648;
792;Homme;648;
793;Hestnes;647;
794;Gudmundsen;647;
795;Folkestad;647;
796;Ulvestad;646;
797;Torvik;646;
798;Storsveen;646;
799;Løvaas;646;
800;Frøyland;646;
801;Roald;644;
802;Mohammadi;643;
803;Jahren;642;
804;Fuglestad;642;
805;Bruland;640;
806;Østli;639;
807;Bogen;639;
808;Skjold;638;
809;Bore;638;
810;Smedsrud;637;
811;Opdal;637;
812;Aarnes;637;
813;Odland;636;
814;Grøndahl;636;
815;Furulund;636;
816;Åsen;634;
817;Sveum;634;
818;Rognstad;633;
819;Rekdal;633;
820;Jansson;633;
821;Haugli;633;
822;Granlund;633;
823;Smestad;632;
824;Moi;632;
825;Hellum;632;
826;Lindland;630;
827;Reistad;629;
828;Heiberg;629;
829;Granberg;628;
830;Støle;627;
831;Midtun;627;
832;Melbye;627;
833;Sørvik;625;
834;Skagen;625;
835;Mydland;625;
836;Lyng;623;
837;Lode;623;
838;Kolberg;623;
839;Vatland;622;
840;Henningsen;622;
841;Rolland;621;
842;Myrvoll;621;
843;Hogstad;620;
844;Thune;619;
845;Sollid;618;
846;Elstad;618;
847;Urdal;617;
848;Sørbø;617;
849;Løvstad;617;
850;Hovda;616;
851;Skrede;614;
852;Alnes;614;
853;Aanonsen;614;
854;Said;613;
855;Randen;613;
856;Eira;613;
857;Rogstad;612;
858;Kittilsen;610;
859;Jahr;610;
860;Gaarder;609;
861;Øverås;608;
862;Karstensen;608;
863;Abdullah;608;
864;Skjelbred;606;
865;Harstad;606;
866;Engelsen;606;
867;Østgård;605;
868;Wergeland;605;
869;Rudi;605;
870;Lundby;605;
871;Holberg;605;
872;Hjelmeland;605;
873;Aarstad;605;
874;Westgaard;604;
875;Vu;604;
876;Mæhlum;604;
877;Kildal;604;
878;Zachariassen;601;
879;Fjelde;599;
880;Marcussen;598;
881;Sørgård;597;
882;Eid;597;
883;Berland;597;
884;Myhrvold;595;
885;Lillevik;595;
886;Brynildsen;595;
887;Svarstad;594;
888;Lein;594;
889;Ek;594;
890;Dammen;594;
891;Bergmann;594;
892;Skulstad;593;
893;Kvalsvik;593;
894;Petterson;592;
895;Longva;592;
896;Bruvik;592;
897;Steinsvik;591;
898;Lima;591;
899;Nordberg;589;
900;Osmundsen;588;
901;Øverli;587;
902;Vestre;586;
903;Mahamed;584;
904;Lønning;583;
905;Bauge;582;
906;Reiten;581;
907;Werner;580;
908;Pettersson;580;
909;Ofstad;580;
910;Midttun;580;
911;Boge;580;
912;Auestad;580;
913;Sortland;578;
914;Haave;578;
915;Vestby;576;
916;Loe;576;
917;Kjærstad;576;
918;Bjørdal;576;
919;Marthinussen;575;
920;Håvik;575;
921;Fjeldheim;575;
922;Heggland;573;
923;Terjesen;572;
924;Gudbrandsen;572;
925;Grønås;572;
926;Øvergård;571;
927;Brovold;570;
928;Sele;568;
929;Bratli;568;
930;Soltvedt;567;
931;Engelstad;567;
932;Thon;566;
933;Stensby;566;
934;Skau;566;
935;Leknes;566;
936;Øie;565;
937;Halle;565;
938;Myran;564;
939;Jordal;564;
940;Brekken;563;
941;Selvik;562;
942;Rydland;562;
943;Nymo;562;
944;Remme;561;
945;Nordås;561;
946;Hauan;561;
947;Groven;561;
948;Kallevik;560;
949;Abbas;560;
950;Tofte;559;
951;Thue;559;
952;Bjørkli;559;
953;Høydal;558;
954;Hem;557;
955;Tjelta;556;
956;Fremstad;555;
957;Bergseth;554;
958;Gaup;553;
959;Fagerland;553;
960;Tufte;552;
961;Ommundsen;552;
962;Gashi;552;
963;Veland;551;
964;Solås;551;
965;Sjøberg;551;
966;Nedrebø;551;
967;Bjørsvik;549;
968;Sollien;547;
969;Osland;546;
970;Løkke;546;
971;Sørby;545;
972;Helseth;545;
973;Aass;545;
974;Osnes;544;
975;Hassel;544;
976;Opdahl;543;
977;Dreyer;543;
978;Aarvik;543;
979;Vindenes;542;
980;Otterlei;542;
981;Nordseth;542;
982;Idland;542;
983;Gamst;542;
984;Alexandersen;542;
985;Løvseth;541;
986;Korsmo;541;
987;Forberg;541;
988;Raknes;540;
989;Hegna;540;
990;Heen;540;
991;Taraldsen;539;
992;Markhus;539;
993;Landro;539;
994;Bru;539;
995;Tharaldsen;538;
996;Skjerve;538;
997;Grov;538;
998;Grimsrud;538;
999;Semb;537;
1000;Kjos;537;
1001;Hætta;536;
1002;Sara;534;
1003;Alsaker;534;
1004;Risan;533;
1005;Dyrnes;533;
1006;Strande;532;
1007;Seland;532;
1008;Reigstad;532;
1009;Jahnsen;532;
1010;Stranden;531;
1011;Sandmo;531;
1012;Ngo;531;
1013;Horpestad;531;
1014;Heier;531;
1015;Aadland;531;
1016;Ulstein;530;
1017;Fevang;530;
1018;Wessel;529;
1019;Skauge;529;
1020;Saleh;529;
1021;Bjørk;529;
1022;Sævik;528;
1023;Størseth;528;
1024;Nystuen;528;
1025;Hestad;528;
1026;Gustafsson;528;
1027;Fure;528;
1028;Røen;527;
1029;Rashid;527;
1030;Osen;527;
1031;Nordstrøm;527;
1032;Steinnes;525;
1033;Hasan;525;
1034;Fylling;524;
1035;Furu;524;
1036;Aske;524;
1037;Alm;524;
1038;Stenhaug;523;
1039;Godø;523;
1040;Zhang;522;
1041;Korsnes;522;
1042;Sletvold;520;
1043;Rosvold;520;
1044;Gerhardsen;520;
1045;Apeland;520;
1046;Willumsen;519;
1047;Tengesdal;519;
1048;Nord;519;
1049;Haavik;519;
1050;Bremnes;519;
1051;Hårstad;518;
1052;Edland;518;
1053;Bernhardsen;518;
1054;Westgård;517;
1055;Langås;517;
1056;Fjeldberg;517;
1057;Vaage;516;
1058;Stiansen;516;
1059;Kjeldsen;516;
1060;Berthelsen;516;
1061;Holgersen;515;
1062;Røste;514;
1063;Mjøs;514;
1064;Lavik;514;
1065;Fotland;514;
1066;Finne;514;
1067;Tiller;513;
1068;Hafstad;513;
1069;Nordengen;512;
1070;Nervik;512;
1071;Østbye;511;
1072;Nowak;510;
1073;Jæger;510;
1074;Hadland;510;
1075;Elvestad;510;
1076;Karoliussen;509;
1077;Grytten;509;
1078;Frogner;509;
1079;Chen;509;
1080;Rindal;508;
1081;Rasch;508;
1082;Mustafa;508;
1083;Løvold;508;
1084;Valderhaug;507;
1085;Sommer;507;
1086;Rosenlund;507;
1087;Phan;507;
1088;Grinde;507;
1089;Østvold;506;
1090;Wilson;506;
1091;Sandven;506;
1092;Horgen;506;
1093;Kvale;505;
1094;Botten;505;
1095;Nesje;504;
1096;Aalberg;504;
1097;Østbø;503;
1098;Stensen;503;
1099;Stamnes;503;
1100;Solsvik;503;
1101;Sharif;503;
1102;Aspelund;503;
1103;Schjelderup;502;
1104;Rian;502;
1105;Høyvik;502;
1106;Emilsen;502;
1107;Flåten;501;
1108;Dørum;501;
1109;Vikse;500;
1110;Sørdal;500;
1111;Holmgren;499;
1112;Friestad;499;
1113;Dybdahl;499;
1114;Sundberg;498;
1115;Waaler;497;
1116;Opstad;497;
1117;Grødem;497;
1118;Aardal;497;
1119;Torkelsen;496;
1120;Malmin;496;
1121;Langerud;496;
1122;Hagerup;496;
1123;Friis;495;
1124;Bjørnerud;495;
1125;Eiken;494;
1126;Bergland;494;
1127;Bach;494;
1128;Arvesen;494;
1129;Røren;493;
1130;Revheim;491;
1131;Fornes;491;
1132;Neset;490;
1133;Krohn;490;
1134;Aasbø;490;
1135;Bryn;489;
1136;Landsverk;488;
1137;Kirkeby;488;
1138;Høiby;488;
1139;Husøy;488;
1140;Aasgaard;488;
1141;Svenning;487;
1142;Lindahl;486;
1143;Teige;485;
1144;Krasniqi;485;
1145;Frafjord;485;
1146;Djupvik;485;
1147;Westbye;484;
1148;Nærland;484;
1149;Bjørvik;484;
1150;Aanensen;484;
1151;Østerhus;483;
1152;Heggdal;483;
1153;Shah;482;
1154;Sandstad;482;
1155;Reime;482;
1156;Kaland;482;
1157;Hellem;482;
1158;Haile;482;
1159;Erga;482;
1160;Landa;481;
1161;Horne;480;
1162;Opedal;479;
1163;Nordhus;479;
1164;Lied;479;
1165;Kolnes;479;
1166;Hammerstad;479;
1167;Nergaard;477;
1168;Mundal;477;
1169;Langnes;477;
1170;Haglund;477;
1171;Falck;477;
1172;Bratberg;477;
1173;Westad;475;
1174;Skarstein;475;
1175;Klungland;475;
1176;Haukland;475;
1177;Finsrud;475;
1178;Aziz;475;
1179;Sommerseth;474;
1180;Eikenes;474;
1181;Bakka;474;
1182;Telle;473;
1183;Frostad;473;
1184;Bjørnestad;473;
1185;Vartdal;472;
1186;Trøen;472;
1187;Holmsen;472;
1188;Hognestad;472;
1189;Eskeland;472;
1190;Rong;471;
1191;Kalland;471;
1192;Haram;471;
1193;Dalland;471;
1194;By;471;
1195;Tveito;470;
1196;Røkke;470;
1197;Hasle;470;
1198;Bjørgum;470;
1199;Eidissen;469;
1200;Bøen;469;
1201;Øksnes;468;
1202;Skorpen;468;
1203;Sanne;468;
1204;Håheim;468;
1205;Bergerud;468;
1206;Rosenberg;467;
1207;Irgens;467;
1208;Wolden;466;
1209;Sjølie;466;
1210;Schau;466;
1211;Eek;466;
1212;Dalheim;466;
1213;Rydningen;465;
1214;Øygard;464;
1215;Østebø;464;
1216;Valstad;464;
1217;Stave;464;
1218;Opsal;464;
1219;Nordeng;464;
1220;Holmberg;464;
1221;Holmedal;463;
1222;Heldal;463;
1223;Carlsson;463;
1224;Frøland;462;
1225;Elmi;462;
1226;Bergene;462;
1227;Molvik;461;
1228;Amin;461;
1229;Wiggen;460;
1230;Taule;459;
1231;Juul;459;
1232;Gullaksen;459;
1233;Brox;459;
1234;Aspen;459;
1235;Stabell;458;
1236;Kjølstad;458;
1237;Hunstad;458;
1238;Brakstad;458;
1239;Aarhus;458;
1240;Tysse;457;
1241;Tveten;457;
1242;Hovind;456;
1243;Berisha;456;
1244;Kvarme;455;
1245;Skjønhaug;454;
1246;Krog;454;
1247;Baardsen;454;
1248;Solvik;453;
1249;Rødal;453;
1250;Lægreid;453;
1251;Kjørsvik;453;
1252;Thu;452;
1253;Moan;452;
1254;Leite;452;
1255;Garberg;452;
1256;Raaen;451;
1257;Egeberg;451;
1258;Høyem;450;
1259;Ho;450;
1260;Aure;450;
1261;Skeide;449;
1262;Hegland;449;
1263;Vestad;448;
1264;Hjortland;448;
1265;Christophersen;448;
1266;Mjøen;447;
1267;Warsame;446;
1268;Løvli;446;
1269;Haugseth;446;
1270;Grini;446;
1271;Fossdal;446;
1272;Borlaug;446;
1273;Reite;445;
1274;Lunder;445;
1275;Hareide;445;
1276;Grude;445;
1277;Bjørgan;445;
1278;Poulsen;444;
1279;Kjøsnes;444;
1280;Hopen;444;
1281;Helleland;444;
1282;Kvinge;443;
1283;Caspersen;443;
1284;Aleksandersen;443;
1285;Hynne;442;
1286;Ekren;442;
1287;Theodorsen;441;
1288;Storesund;441;
1289;Herstad;441;
1290;Granås;441;
1291;Garnes;441;
1292;Braut;441;
