 ;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;
Bjørnar;14;9;14;16;24;18;27;30;31;31;
Bo;20;23;19;21;18;22;21;13;21;20;
Brage;126;144;132;130;136;133;119;142;131;126;
Brede;9;14;13;19;23;17;18;21;22;15;
Brian;9;12;17;18;14;22;19;17;13;14;
Bror;5;6;8;7;12;14;15;13;14;15;
Bruno;7;13;6;7;:;:;4;7;9;:;
Brynjar;5;12;10;11;6;5;10;8;:;8;
Carl;35;35;44;38;36;50;37;36;40;53;
Carlos;:;6;:;8;5;:;7;10;10;:;
Carsten;:;:;:;10;:;:;:;5;:;7;
Casper;117;108;92;98;100;111;134;136;104;96;
Caspian;39;43;38;46;31;13;26;12;4;:;
Charlie;20;20;23;18;10;13;10;8;9;:;
Chris;8;20;18;12;16;17;22;23;22;19;
Chrisander;10;13;5;13;9;8;7;8;9;7;
Christer;7;9;5;8;6;12;11;11;19;11;
Christian;98;109;122;131;111;150;190;160;178;174;
Christoffer;38;45;41;56;67;70;84;89;90;82;
Christopher;21;31;30;26;34;25;36;58;36;65;
Colin;25;21;27;27;25;14;15;16;17;11;
Conrad;12;11;9;11;10;14;20;13;15;15;
Cornelius;24;22;26;25;22;12;23;14;20;11;
Dag;5;6;7;6;6;12;8;9;13;10;
Damian;8;9;14;9;8;14;9;:;9;9;
Dan;:;4;6;7;6;4;4;9;13;6;
Dani;4;4;8;9;6;:;8;11;12;:;
Danial;6;10;6;:;4;7;6;10;10;6;
Daniel;249;252;307;309;344;392;425;429;418;413;
Darin;7;5;5;8;14;8;20;10;4;9;
David;139;162;156;179;188;138;163;158;176;189;
Dawid;8;16;10;14;13;20;12;17;12;15;
Denis;7;7;14;11;4;9;8;10;9;9;
Dennis;113;89;93;104;123;131;93;98;94;109;
Dexter;10;4;:;:;:;:;:;:;:;:;
Didrik;40;28;35;36;32;33;42;33;33;24;
Diego;5;10;:;4;:;:;4;:;7;6;
Domas;:;6;4;6;11;:;:;6;:;:;
Dominic;9;10;15;13;6;6;6;5;15;7;
Dominik;12;7;12;16;13;12;16;11;15;12;
Dominykas;8;12;8;11;13;4;6;4;6;:;
Dovydas;:;:;7;10;6;8;6;10;4;5;
Edgar;10;10;4;11;11;4;7;7;9;6;
Edin;9;9;5;8;13;9;8;6;:;:;
Edvald;6;5;4;10;5;:;:;:;:;:;
Edvard;91;106;138;119;117;83;89;82;79;74;
Edvin;86;66;56;49;39;35;36;32;22;24;
Edward;22;33;34;37;34;29;16;21;20;16;
Edwin;22;24;21;32;12;16;13;:;12;6;
Eik;8;7;9;11;5;:;5;7;:;:;
Eilif;8;8;7;9;8;6;7;5;:;10;
Einar;73;52;68;56;68;47;59;51;47;41;
Eirik;142;117;148;171;201;184;197;209;230;215;
Eivind;45;59;45;62;88;81;66;78;75;92;
Eldar;14;11;11;16;10;8;9;9;11;5;
Eliah;16;21;19;22;11;12;12;15;4;4;
Elian;12;15;12;5;9;9;:;:;:;:;
Elias;323;321;317;325;347;367;348;340;435;466;
Elijah;6;8;10;6;7;8;5;5;4;:;
Elling;6;4;10;9;:;4;7;:;:;4;
Elliot;51;66;43;32;29;30;31;22;21;25;
Elliott;6;5;7;8;10;9;:;:;:;:;
Emanuel;21;14;9;14;10;16;17;16;13;8;
Emil;354;422;323;413;486;538;488;466;445;406;
Emilian;65;59;82;65;80;66;40;31;15;13;
Emilio;16;19;12;15;8;9;13;11;7;8;
Emilis;14;12;10;12;8;9;8;4;:;:;
Emin;8;10;5;9;:;7;5;6;6;6;
Emir;12;15;14;13;17;10;10;5;5;5;
Emmanuel;5;7;10;6;7;7;9;7;5;6;
Emmett;:;11;6;5;4;:;:;:;:;:;
Emre;22;16;22;16;20;10;16;16;23;13;
Emrik;119;106;89;48;63;55;38;25;13;10;
Endre;28;29;47;25;37;38;41;32;40;44;
Eren;8;:;4;:;4;10;6;7;:;:;
Eric;14;18;16;27;28;21;16;33;22;21;
Erik;166;181;211;204;217;224;227;217;240;224;
Erlend;39;37;53;62;56;81;76;97;97;114;
Erling;31;36;31;32;22;27;37;32;33;36;
Eskil;42;49;52;69;91;83;98;119;88;119;
Eskild;:;:;:;:;6;4;10;6;10;9;
Espen;21;17;15;13;22;20;36;36;39;64;
Evan;10;11;6;14;9;8;7;11;9;5;
Even;175;163;159;172;167;178;193;162;177;244;
Fabian;36;39;34;48;50;35;43;28;57;55;
Falk;22;25;13;12;15;7;15;5;13;13;
Felix;177;143;153;143;111;106;133;127;115;125;
Ferdinand;35;22;24;29;31;37;26;29;18;16;
Filip;202;196;263;176;206;198;218;169;171;170;
Fillip;54;39;45;38;37;35;30;24;31;19;
Finn;23;27;19;23;14;18;21;24;15;26;
Franciszek;11;17;15;4;12;15;9;5;4;:;
Frank;10;7;6;11;8;4;8;7;6;10;
Frederik;5;6;8;9;11;14;8;16;12;9;
Fredrik;149;154;146;200;224;189;247;248;254;262;
Gabriel;159;150;165;194;185;181;182;180;151;143;
Gard;17;9;23;18;22;22;26;25;28;32;
Gaute;15;21;11;29;17;20;16;28;28;20;
Geir;:;6;4;5;6;:;:;6;11;:;
Georg;52;45;54;35;35;33;30;37;25;23;
Gjermund;:;5;9;:;6;5;7;7;11;9;
Gunnar;13;12;6;18;12;8;13;16;16;16;
Gustas;:;4;10;7;5;11;:;:;:;:;
Gustav;123;106;103;106;68;85;74;60;71;59;
Haakon;53;58;56;54;60;65;61;54;46;57;
Hallvard;12;11;13;8;9;10;11;15;14;18;
Halvard;10;9;13;11;11;5;15;12;13;9;
Halvor;31;28;32;21;28;28;36;41;32;39;
Hamza;19;24;30;22;34;32;29;25;31;27;
Hans;53;59;64;66;73;81;80;106;79;95;
Harald;41;28;41;31;38;32;35;58;40;43;
Harun;5;11;:;:;4;4;5;:;6;4;
Hassan;16;14;18;13;17;15;11;22;27;19;
Hauk;11;14;:;14;5;10;19;8;14;15;
Heine;28;26;45;38;34;46;56;42;36;48;
Helge;8;9;9;9;8;8;12;7;12;11;
Helmer;38;31;23;8;13;5;:;6;8;4;
Henning;17;12;16;20;21;24;25;23;28;45;
Henrik;307;352;304;348;332;323;351;385;423;401;
Henry;63;50;32;39;29;25;31;27;19;20;
Herman;151;169;152;157;162;162;150;161;161;180;
Hermann;11;10;12;9;9;12;15;18;19;13;
Hjalmar;7;13;15;7;6;8;4;5;6;:;
Hubert;6;4;4;9;4;4;11;5;4;5;
Hugo;35;31;26;42;24;18;24;15;9;11;
Hussein;5;11;15;7;10;12;6;13;13;9;
Håkon;211;209;203;200;202;207;209;200;171;189;
Håvard;32;50;43;71;61;96;86;104;109;104;
Ian;9;14;10;6;15;13;10;13;12;13;
Iben;8;6;:;7;4;4;8;10;4;8;
Ibrahim;41;41;50;39;41;41;39;44;31;32;
Igor;7;17;12;10;10;14;10;10;7;7;
Ilyas;12;14;15;12;13;10;13;10;8;10;
Imran;13;17;16;10;12;11;8;6;:;:;
Imre;21;20;31;28;25;20;34;22;19;20;
Ingmar;:;4;6;5;5;:;10;:;:;:;
Isa;12;6;15;4;5;11;8;7;6;4;
Isaac;27;35;24;18;16;18;18;21;16;20;
Isac;26;30;23;23;25;12;27;24;28;18;
Isak;247;274;300;283;252;246;295;332;207;243;
Ismail;14;15;22;19;18;16;19;15;23;9;
Ivan;16;17;8;25;22;12;10;20;22;18;
Ivar;22;32;34;31;26;21;32;30;33;27;
Iver;160;140;145;132;130;141;122;115;114;92;
Ivo;13;14;8;8;12;7;6;12;7;10;
Jack;14;14;22;14;11;5;9;12;14;10;
Jacob;150;144;138;160;126;142;140;134;115;102;
Jakob;259;243;243;225;249;239;233;224;190;213;
Jakub;22;31;39;34;29;47;33;46;41;43;
James;14;16;10;14;9;14;10;9;13;7;
Jamie;9;14;6;9;7;11;10;:;5;5;
Jan;54;68;76;70;62;61;73;81;81;76;
Jaran;7;11;9;6;4;11;:;10;6;7;
Jarand;4;7;:;:;7;8;8;12;10;6;
Jarle;10;12;6;:;6;7;4;7;13;4;
Jasper;6;13;10;6;8;12;10;8;5;10;
Jayden;5;5;5;5;11;:;7;:;:;:;
Jens;77;71;73;79;88;67;92;85;81;80;
Jeppe;20;12;9;12;7;9;12;18;11;7;
Jesper;121;98;86;92;103;118;120;117;144;131;
Jimmy;:;:;:;:;4;5;7;12;7;9;
Jo;20;15;26;18;15;21;22;26;20;25;
Joachim;15;17;17;19;41;31;33;50;33;47;
Joakim;40;38;47;56;68;62;95;103;112;136;
Joar;9;8;11;14;7;5;7;12;10;11;
Joel;30;28;29;22;32;23;20;24;23;19;
Johan;183;153;161;181;135;160;143;156;115;121;
Johann;9;5;7;7;8;8;7;10;4;12;
Johannes;246;243;248;225;218;222;236;223;224;247;
John;45;55;55;63;52;55;66;72;74;69;
Johnny;7;:;:;5;:;:;:;:;12;:;
Jokubas;11;5;5;7;7;7;4;:;:;:;
Jon;52;51;48;52;63;54;76;68;67;65;
Jonah;18;28;18;27;22;28;35;19;23;21;
Jonas;307;329;315;400;395;425;458;448;471;563;
Jonatan;31;33;28;36;43;50;51;61;44;37;
Jonathan;134;157;172;195;211;197;197;176;151;148;
Jone;20;17;20;17;18;20;34;26;19;14;
Josef;18;21;23;18;20;14;17;14;14;19;
Joseph;12;14;7;7;10;12;15;7;5;9;
Joshua;7;15;14;11;16;12;18;12;20;16;
Jostein;7;10;14;11;16;18;14;19;12;23;
Julian;175;167;186;221;225;226;194;201;216;176;
Julius;8;14;23;18;20;19;19;15;15;12;
Justin;:;:;6;8;5;14;10;:;10;9;
Jøran;:;:;4;7;:;:;:;:;9;11;
Jørgen;67;76;61;76;90;113;144;144;153;159;
Kacper;20;22;34;28;35;28;27;30;32;32;
Kai;8;11;20;14;15;19;9;11;10;18;
Kajus;13;11;15;13;10;8;8;9;4;:;
Kamil;8;:;:;9;11;6;6;9;7;5;
Karl;36;54;35;48;69;61;57;55;60;56;
Karol;7;6;8;13;9;8;5;5;8;10;
Karsten;12;10;20;17;10;18;16;19;18;19;
Kasper;182;179;165;164;177;181;212;170;158;155;
Kaspian;15;19;11;13;11;12;:;11;:;:;
Ken;5;8;:;6;:;6;4;4;7;10;
Kenan;:;4;:;11;:;4;:;11;6;:;
Kenneth;4;5;12;8;9;5;15;13;15;21;
Kent;:;:;4;4;6;7;11;9;8;8;
Kevin;93;103;107;117;145;143;151;160;139;139;
Khalid;9;12;19;18;12;16;15;15;11;16;
Kian;22;23;16;23;11;12;11;17;4;6;
Kim;14;16;21;20;20;29;35;23;31;40;
Kjell;4;5;7;6;7;7;18;9;7;12;
Kjetil;6;6;6;:;5;8;13;10;19;8;
Knut;37;38;26;44;32;38;41;43;53;66;
Konrad;44;46;41;32;37;47;40;30;21;37;
Kornelius;8;16;21;22;13;17;23;10;8;5;
Kristian;160;165;178;196;244;265;243;270;299;296;
Kristoffer;81;98;81;119;153;152;204;218;226;220;
Kristupas;6;9;4;11;:;6;6;:;:;:;
Krystian;:;8;6;7;5;11;7;13;5;11;
Kåre;10;:;4;5;8;4;8;5;6;:;
Lars;122;118;128;152;157;158;161;186;200;194;
Lasse;28;30;25;29;30;34;47;33;45;49;
Laurits;9;14;11;9;14;15;7;17;16;13;
Lauritz;15;8;13;20;12;10;15;15;12;12;
Lavrans;24;26;7;10;10;9;4;12;11;11;
Leander;139;163;140;191;153;191;163;147;130;121;
Leif;11;15;11;10;12;17;13;11;13;23;
Leo;146;139;165;164;147;142;143;127;115;118;
Leon;249;285;245;279;289;324;280;222;181;156;
Leonard;37;35;33;46;24;30;37;22;26;27;
Leonardo;12;8;9;7;8;13;6;10;8;12;
Leonel;13;14;14;8;5;7;4;:;:;:;
Levi;56;59;44;64;50;45;38;34;25;10;
Liam;396;333;342;337;254;233;171;82;67;70;
Linus;94;96;120;114;154;149;141;133;164;127;
Lionel;14;8;10;16;12;6;:;:;:;:;
Loke;34;49;39;36;24;26;18;18;13;18;
Louis;12;26;15;15;9;17;11;9;10;10;
Luca;32;41;24;28;23;26;18;23;19;19;
Lucas;228;265;263;320;319;341;354;336;248;184;
Ludvig;152;141;133;123;142;101;76;75;83;74;
Ludvik;62;60;53;75;76;80;65;62;53;41;
Luis;13;8;14;9;8;6;10;12;8;5;
Luka;20;20;18;19;18;29;18;29;11;14;
Lukas;179;180;191;235;206;207;252;270;257;254;
Lyder;16;18;8;8;8;8;9;:;8;6;
Maciej;:;:;:;4;8;7;15;19;11;12;
Mads;48;32;57;54;78;79;87;101;98;82;
Magne;17;14;16;10;12;10;18;8;13;14;
Magnus;308;372;351;383;400;444;459;439;444;394;
Mahamed;:;5;7;10;8;10;14;5;15;11;
Mahdi;:;4;5;:;:;4;10;8;6;4;
Maksymilian;15;12;19;11;12;17;11;15;12;6;
Malik;5;9;5;5;9;7;9;9;10;8;
Malvin;4;6;13;9;8;4;5;6;5;4;
Marcel;17;25;21;20;17;19;19;21;16;9;
Marco;18;10;16;13;15;8;12;18;17;18;
Marcus;119;154;156;166;177;196;204;207;211;210;
Mario;4;9;19;7;15;12;5;4;11;6;
Marius;159;168;216;226;211;256;295;298;335;296;
Markas;8;10;6;4;5;:;:;:;:;:;
Markus;231;263;179;220;203;258;257;258;265;241;
Martin;233;251;220;308;307;340;342;363;398;398;
Martinius;11;18;11;9;11;4;13;16;13;11;
Martinus;12;14;15;16;12;17;14;18;10;8;
Marvin;4;4;5;9;10;9;:;4;:;7;
Matas;6;13;21;16;10;14;16;12;10;10;
Mateo;27;32;30;20;28;17;29;18;10;9;
Mateusz;4;4;9;11;14;12;20;18;16;19;
Matheo;242;244;240;262;160;119;101;59;44;21;
Matheus;19;19;12;8;18;12;10;14;10;12;
Mathias;385;348;344;372;410;454;435;454;456;490;
Mathis;7;4;:;5;6;11;5;:;7;:;
Matias;34;43;44;44;44;40;52;44;44;48;
Mats;65;101;71;91;111;110;129;151;126;137;
Matteo;18;24;20;19;23;28;11;17;4;12;
Matteus;11;13;13;12;12;13;9;7;9;9;
Matthew;6;9;8;5;:;11;4;5;8;:;
Mattias;5;7;11;8;19;16;11;13;10;11;
Mattis;31;36;30;35;32;42;27;31;24;24;
Max;117;126;112;143;142;140;126;93;60;65;
Maxim;10;12;7;10;9;10;7;4;:;7;
Maximilian;25;46;30;41;31;26;24;23;12;19;
Maximillian;6;8;8;11;22;14;23;12;11;:;
Melvin;23;27;16;10;14;22;15;12;9;11;
Michael;38;53;57;55;52;66;49;55;73;62;
Michal;8;13;8;8;13;18;17;11;15;15;
Mika;10;10;9;9;22;14;7;13;16;7;
Mikael;59;40;71;94;68;78;82;90;80;70;
Mikail;14;10;15;14;10;9;:;5;5;14;
Mikal;7;7;14;21;16;17;20;17;24;20;
Mikkel;163;168;160;176;194;153;190;150;136;143;
Mikolaj;9;8;6;11;17;13;9;12;18;10;
Milan;37;25;20;10;16;14;6;14;8;5;
Milian;52;48;39;49;51;20;21;17;:;:;
Millian;5;6;10;8;6;4;:;:;:;:;
Milo;19;14;17;13;11;5;7;11;5;4;
Mio;43;66;55;47;25;28;18;9;9;4;
Mohamad;6;5;9;7;8;11;14;11;10;7;
Mohamed;36;60;43;51;62;61;58;61;69;46;
Mohammad;57;71;82;82;86;73;75;65;57;57;
Mohammed;35;58;55;65;65;61;55;75;59;49;
Mons;7;5;8;13;8;13;11;13;10;10;
Morgan;:;4;7;10;8;16;10;11;14;24;
Morten;10;28;25;21;41;27;35;54;56;54;
Muhammad;80;83;71;66;84;50;46;52;45;36;
Muhammed;18;14;22;16;11;21;15;16;13;8;
Musab;:;5;6;11;:;4;4;6;:;5;
Mustafa;23;26;12;16;23;16;23;12;20;12;
Natan;22;12;16;8;12;11;10;8;8;6;
Nataniel;11;12;13;16;11;12;8;12;7;8;
Nathan;8;21;17;17;16;20;12;12;5;13;
Nathaniel;52;59;62;72;60;54;67;44;49;25;
Neo;17;23;11;8;16;14;15;14;8;11;
Nichlas;4;:;4;6;7;8;6;10;5;8;
Nicholas;28;35;34;33;37;53;51;47;59;58;
Nicklas;27;21;32;34;41;42;30;42;53;27;
Nickolai;:;:;:;:;:;11;8;5;5;6;
Niclas;10;9;10;10;9;16;16;15;13;14;
Nico;:;10;5;5;11;:;:;4;4;:;
Nicolai;84;74;85;92;93;96;86;104;116;95;
Nicolas;28;22;25;20;24;31;35;37;33;28;
Nicolay;15;10;16;24;22;20;45;23;29;39;
Niklas;63;49;64;61;83;86;79;89;73;70;
Nikodem;12;13;16;:;15;5;10;5;7;6;
Nikolai;133;139;141;144;161;164;153;161;156;169;
Nikolas;24;24;21;15;24;27;23;17;22;25;
Nikolay;6;:;4;5;10;8;10;10;10;12;
Nils;51;64;64;66;46;52;55;52;39;52;
Noa;20;23;14;14;29;18;23;17;25;19;
Noah;281;332;300;318;370;370;396;359;356;332;
Noel;21;16;21;18;15;16;13;10;9;10;
Nojus;12;16;15;10;9;13;9;20;6;6;
Odd;8;13;13;9;10;8;9;12;16;16;
Odin;145;194;167;124;131;137;141;138;147;119;
Ola;104;116;112;133;142;124;122;128;106;111;
Olaf;26;17;14;18;17;20;15;16;19;21;
Olai;67;75;57;56;52;27;19;39;15;14;
Olander;6;10;11;9;12;9;11;:;4;:;
Olav;219;191;200;158;171;166;116;150;127;128;
Ole;128;153;196;151;148;190;186;208;239;218;
Oliver;412;338;392;377;389;412;461;466;356;371;
Olivier;20;16;14;11;17;11;10;8;5;7;
Oliwier;12;:;12;12;8;13;14;12;9;12;
Olve;11;19;15;22;15;9;26;27;16;14;
Omar;28;39;43;32;29;28;41;33;22;28;
Oscar;160;178;197;170;197;135;158;168;136;158;
Oskar;191;218;211;231;187;226;186;194;195;180;
Otto;17;18;15;7;13;12;13;10;10;13;
Patrick;46;52;56;61;64;79;56;82;87;85;
Patrik;20;15;17;19;18;22;22;27;24;25;
Patryk;4;11;11;14;14;15;13;17;12;12;
Paul;12;11;19;17;21;17;28;17;20;23;
Peder;84;83;111;82;79;93;99;85;74;72;
Pelle;6;9;5;10;7;10;16;8;11;15;
Per;28;32;31;37;46;41;49;38;49;44;
Peter;51;62;52;56;49;44;67;59;65;71;
Petter;72;65;84;77;88;90;91;119;117;120;
Philip;110;96;130;92;110;121;123;101;126;118;
Phillip;39;42;62;40;43;43;38;44;34;29;
Piotr;6;:;9;9;10;5;6;7;12;7;
Preben;4;8;10;12;17;16;21;19;20;57;
Pål;8;9;12;5;22;7;17;14;12;18;
Rafael;14;14;13;12;11;19;14;12;9;9;
Ragnar;20;22;15;7;10;4;12;13;8;7;
Rasmus;29;32;29;39;40;45;59;43;43;42;
Ravn;10;8;9;9;12;8;10;10;12;9;
Rayan;25;24;25;27;7;16;21;16;12;5;
Remi;4;7;4;8;7;5;8;8;10;13;
Richard;5;11;14;13;14;13;15;18;10;14;
Ridwan;6;9;10;6;6;9;:;:;5;7;
Robert;13;12;22;16;23;21;18;20;23;29;
Robin;51;47;47;48;85;68;81;97;95;108;
Rolf;5;7;10;6;14;7;17;12;10;14;
Ruben;25;34;39;37;37;40;54;61;58;82;
Runar;:;:;6;8;4;17;8;14;10;16;
Rune;:;6;4;:;5;:;7;8;8;10;
Ryan;15;7;14;9;10;8;13;13;7;:;
Said;:;:;5;5;10;6;12;4;10;5;
Sakarias;:;4;11;11;6;6;10;6;7;5;
Salman;14;13;8;8;5;6;12;5;5;8;
Sam;17;19;20;17;14;10;12;9;5;14;
Samir;4;9;10;8;4;9;7;7;5;8;
Samson;9;7;11;8;7;7;11;8;4;:;
Samuel;116;108;133;120;104;100;106;95;93;90;
Sander;258;323;289;285;279;335;423;341;391;423;
Scott;18;13;17;18;26;16;25;21;19;18;
Sean;10;8;16;11;13;22;33;19;30;19;
Sebastian;263;277;317;331;331;360;425;375;402;428;
Selmer;5;19;19;13;7;9;11;8;5;:;
Severin;15;6;11;7;9;4;9;5;:;6;
Shawn;:;:;:;:;:;:;8;:;7;13;
Sigmund;5;9;9;17;13;9;9;10;7;12;
Sigurd;173;180;150;190;204;208;149;159;171;177;
Sigve;24;19;32;35;43;32;39;29;38;37;
Silas;32;24;21;19;24;17;22;20;12;14;
Simen;47;62;69;70;138;135;147;193;200;210;
Simon;73;85;98;108;120;143;134;142;117;134;
Sindre;61;70;76;102;110;109;134;162;183;165;
Sivert;87;74;81;85;84;104;87;120;125;116;
Sjur;10;12;17;16;22;14;12;12;18;19;
Snorre;25;20;29;26;28;29;29;27;36;32;
Sofus;7;11;:;11;7;6;5;7;7;6;
Solan;15;9;14;12;7;5;6;:;5;:;
Sondre;184;164;185;230;224;223;258;288;260;279;
Stefan;24;18;22;16;22;22;29;22;25;17;
Steffen;13;8;21;13;19;15;23;24;36;36;
Stein;7;7;9;9;5;5;8;6;5;10;
Steinar;5;7;9;6;9;8;18;12;10;10;
Steven;4;:;4;7;:;10;7;6;6;6;
Stian;19;17;19;20;27;42;53;53;77;87;
Storm;110;98;111;111;105;102;103;86;72;65;
Sturla;:;:;:;4;6;7;7;10;8;8;
Sune;6;10;6;12;8;7;:;:;:;6;
Svein;7;9;4;10;7;8;13;13;12;12;
Sven;6;11;5;10;11;8;7;14;9;6;
Sverre;137;129;136;127;124;120;131;115;104;89;
Syed;4;10;12;7;7;11;12;5;5;7;
Syver;37;36;32;29;32;27;28;27;11;35;
Sølve;10;10;13;9;11;12;11;13;4;13;
Szymon;8;10;12;16;12;28;18;18;22;18;
Tage;18;19;14;20;11;18;20;15;22;23;
Taha;:;4;5;12;7;5;6;16;9;:;
Tallak;8;6;10;4;5;10;4;:;:;:;
Tarik;6;:;:;:;4;4;4;:;10;6;
Tarjei;16;14;21;26;22;17;16;14;14;16;
Teo;24;14;20;21;16;20;22;27;26;27;
Teodor;64;66;72;79;78;69;75;76;64;67;
Terje;:;4;6;10;5;5;9;5;10;13;
Theo;176;185;191;183;199;152;165;138;113;103;
Theodor;262;217;220;219;195;216;201;174;143;203;
Theodore;5;4;6;10;6;4;6;7;5;:;
Thomas;139;122;97;149;140;183;178;238;237;271;
Thor;36;57;48;38;32;25;28;29;30;33;
Thorbjørn;4;7;4;4;:;4;7;11;5;4;
Thorvald;12;9;13;6;6;8;12;:;5;6;
Tian;10;11;9;14;21;14;:;:;:;:;
Tim;18;21;36;28;28;34;36;36;22;31;
Timian;9;8;12;17;18;20;28;21;16;:;
Tinius;:;:;:;4;5;16;9;17;11;10;
Tobias;279;277;295;306;351;361;367;407;394;391;
Tom;11;18;16;17;11;22;21;28;28;28;
Tomas;17;17;22;15;26;27;28;30;33;22;
Tommy;7;10;14;10;18;20;17;16;20;26;
Tony;5;6;9;4;12;12;15;11;17;20;
Tor;33;29;47;43;31;40;44;47;56;62;
Torben;10;7;7;10;5;4;8;14;8;16;
Torbjørn;25;22;26;19;23;30;19;27;19;32;
Tord;19;20;20;18;20;21;22;28;42;38;
Tore;7;16;5;6;13;9;9;15;11;10;
Torgeir;6;:;4;5;11;:;:;9;7;8;
Torje;6;14;10;19;11;17;15;18;16;15;
Torjus;21;16;30;32;43;33;31;27;52;35;
Tormod;:;10;9;14;12;8;11;20;12;11;
Torstein;10;20;20;21;18;13;17;25;25;25;
Tristan;11;18;29;25;26;30;39;24;32;26;
Trond;11;8;5;8;4;8;17;12;10;6;
Troy;13;15;10;13;14;17;19;16;21;17;
Truls;13;9;12;15;16;24;26;38;33;35;
Trygve;39;43;36;41;52;46;34;33;49;33;
Trym;117;117;130;124;136;146;171;169;145;137;
Tymon;11;5;4;8;6;5;:;5;:;:;
Ulrik;140;144;132;131;131;118;89;85;91;74;
Varg;12;9;28;25;15;17;11;13;:;5;
Vebjørn;30;30;40;41;22;39;34;50;28;51;
Vegar;:;5;9;6;4;9;16;12;12;16;
Vegard;48;50;53;67;79;73;89;93;91;134;
