 ;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;
Annabell;16;20;9;11;12;6;7;9;5;:;
Annabelle;24;19;11;11;12;7;8;4;:;7;
Anne;58;59;71;68;66;67;74;91;81;105;
Anneli;6;7;9;7;5;6;15;14;9;16;
Annie;15;11;11;16;11;14;14;13;12;12;
Annika;10;19;27;15;20;24;40;34;27;38;
Anniken;17;13;15;13;24;15;27;28;42;46;
Anny;10;6;8;:;7;10;7;:;4;10;
Aria;60;44;21;17;6;:;:;:;:;:;
Ariana;35;26;14;21;20;22;20;27;27;14;
Ariane;:;:;:;4;5;11;5;8;:;:;
Ariel;24;28;29;29;19;24;24;39;23;20;
Arya;23;19;15;5;6;:;:;:;:;4;
Asta;6;6;:;6;5;10;:;6;6;5;
Astri;6;10;7;8;16;15;10;11;13;11;
Astrid;121;118;138;127;106;110;104;101;91;103;
Augusta;5;:;9;11;9;7;:;7;6;4;
Aurora;244;202;196;220;198;239;223;239;213;272;
Ava;36;28;36;28;34;29;32;20;17;16;
Aya;15;15;13;18;19;15;19;16;12;10;
Ayesha;6;:;:;6;4;5;:;4;4;10;
Ayla;7;24;8;11;11;13;11;7;12;12;
Aylin;20;14;16;14;8;6;6;11;11;6;
Beatrice;4;6;4;13;8;9;13;8;9;5;
Bella;12;15;20;10;20;13;9;6;5;:;
Benedicte;9;13;9;21;18;18;24;28;29;42;
Benedikte;7;10;4;6;7;12;22;13;8;20;
Bertine;9;8;15;25;20;17;22;30;31;31;
Betina;:;:;:;4;:;4;7;14;:;10;
Bettina;:;:;:;7;:;4;10;19;19;10;
Bianca;16;23;22;16;14;21;15;13;10;8;
Bushra;7;:;:;:;:;11;9;:;:;:;
Camilla;34;35;32;52;53;59;61;64;77;114;
Carina;4;6;8;4;12;9;16;5;16;31;
Carla;14;11;10;11;4;9;9;9;8;5;
Carmen;21;25;25;26;29;38;45;34;26;49;
Caroline;40;55;41;53;68;85;83;98;83;84;
Cassandra;21;14;20;19;21;34;29;21;25;24;
Cathrine;4;6;4;6;10;4;11;19;19;20;
Cecilia;13;12;19;19;10;19;13;26;11;17;
Cecilie;15;12;18;26;22;29;31;31;35;42;
Celia;10;9;7;7;10;:;9;9;6;5;
Celin;:;6;12;:;5;6;6;7;10;7;
Celina;54;65;60;66;57;83;90;101;89;87;
Celine;105;136;114;133;138;141;138;138;133;153;
Charlotte;63;57;57;54;55;66;69;60;77;87;
Chloe;6;11;13;5;17;8;12;6;5;:;
Christiane;:;5;4;8;5;7;4;10;6;7;
Christina;10;17;24;35;27;32;43;44;59;84;
Christine;12;14;20;14;21;37;34;43;30;51;
Cindy;:;:;:;7;4;:;6;10;:;8;
Clara;19;22;22;20;33;23;18;18;26;19;
Cornelia;54;54;48;55;66;65;57;43;39;50;
Dania;:;6;7;4;10;5;5;5;:;6;
Daniela;8;5;:;7;6;5;5;12;14;14;
Daniella;14;10;17;12;15;19;19;13;14;12;
Diana;22;24;16;16;18;15;15;13;21;21;
Dina;39;41;31;54;67;72;81;99;89;98;
Dominika;:;:;4;4;:;:;4;9;6;10;
Dorthe;:;:;4;5;4;6;5;:;7;10;
Dorthea;10;5;5;5;4;4;12;:;14;12;
Ea;20;21;20;27;18;9;10;11;4;8;
Ebba;37;33;26;32;20;40;23;18;19;22;
Edda;5;8;12;4;4;8;5;:;9;:;
Edel;11;13;14;14;13;7;9;9;11;10;
Edith;19;16;15;18;16;17;9;6;9;6;
Eileen;6;:;:;6;:;5;11;5;4;5;
Eir;12;10;11;17;12;7;11;14;9;7;
Eira;56;50;66;65;50;60;60;47;35;36;
Eiril;19;19;31;14;9;7;9;16;11;8;
Eirill;9;5;14;7;9;6;11;5;6;7;
Eirin;15;13;19;28;24;27;19;28;36;28;
Eivor;13;8;15;16;21;9;9;7;8;5;
Ela;10;11;7;9;11;13;5;6;5;4;
Elea;22;19;19;17;15;12;6;10;14;12;
Eleah;19;20;13;11;4;4;6;4;6;:;
Elena;49;62;53;66;47;37;37;43;42;39;
Eli;8;7;10;11;7;6;8;7;10;8;
Eliana;22;16;11;16;10;4;6;5;5;5;
Elida;72;69;80;77;57;48;40;47;43;43;
Elif;16;12;7;4;5;4;7;6;:;:;
Elin;15;23;32;29;27;30;22;24;36;42;
Elina;41;49;34;51;48;51;41;35;50;47;
Eline;151;171;141;178;172;170;175;156;164;169;
Elisa;28;26;27;36;32;31;21;23;29;35;
Elisabeth;47;50;42;39;55;52;58;54;64;77;
Elise;135;178;140;207;196;192;210;196;190;221;
Eliza;9;8;8;19;9;13;17;9;13;7;
Elizabeth;13;10;9;14;10;15;12;4;12;6;
Ella;319;318;308;289;277;274;231;217;194;209;
Elle;9;6;12;15;7;10;9;12;10;8;
Ellen;38;22;35;27;29;35;49;33;40;40;
Elli;12;5;6;4;5;:;6;:;:;:;
Ellie;74;41;28;18;20;16;9;:;6;:;
Ellinor;104;102;80;63;58;72;49;34;37;29;
Elly;12;13;4;7;7;5;7;6;:;:;
Elma;13;9;9;8;:;7;7;5;:;:;
Elsa;46;46;30;23;16;18;15;23;16;20;
Else;11;10;17;10;17;13;10;8;8;7;
Elvine;5;5;11;6;7;:;4;:;:;:;
Elvira;84;78;61;67;48;56;70;44;34;33;
Ema;11;10;15;9;8;13;13;6;7;4;
Embla;27;38;36;22;33;26;31;27;34;31;
Emeli;5;11;5;9;6;5;6;4;:;5;
Emelie;5;6;10;7;7;9;10;10;5;13;
Emely;7;11;12;12;19;9;15;14;9;9;
Emilia;108;111;86;68;78;63;71;58;44;51;
Emilie;319;358;310;345;352;399;406;334;393;378;
Emilija;8;14;17;10;17;21;16;11;9;5;
Emily;101;128;122;109;93;96;77;76;59;78;
Emina;11;7;9;21;11;12;7;13;5;7;
Emine;38;42;45;43;41;36;17;23;14;6;
Emma;449;428;431;452;481;520;599;604;489;497;
Emmeli;12;22;15;11;12;10;4;11;4;:;
Emmelin;8;5;9;8;6;10;8;6;:;:;
Emmeline;16;15;16;18;17;14;11;6;7;7;
Emmi;:;10;:;4;4;5;:;:;:;:;
Emmy;16;15;15;13;12;12;14;9;6;9;
Enya;11;15;18;10;4;12;19;13;15;11;
Erica;15;14;17;22;27;17;23;27;29;33;
Erika;32;27;34;41;40;40;42;48;47;40;
Erle;80;66;82;81;87;74;102;94;86;80;
Ester;8;11;11;17;17;12;14;11;8;13;
Esther;21;23;32;22;12;10;16;16;10;5;
Eva;105;117;135;108;116;94;98;87;85;67;
Evelina;18;18;22;15;19;20;16;14;11;19;
Evelyn;31;30;27;27;19;7;10;12;11;9;
Fanny;9;:;11;9;7;10;5;12;15;16;
Fatima;28;37;34;39;37;33;26;35;30;35;
Felicia;12;16;15;14;15;15;14;29;20;15;
Filippa;46;48;43;53;56;49;39;43;28;36;
Fiona;24;21;17;12;13;13;13;21;9;18;
Fredrikke;6;12;14;15;11;14;6;7;11;10;
Freja;10;15;10;8;12;7;12;7;6;4;
Freya;18;19;16;12;20;15;18;13;5;19;
Freyja;10;12;9;5;6;5;4;5;:;:;
Frida;240;259;230;241;243;247;243;255;274;260;
Fride;19;16;19;24;27;29;11;14;18;16;
Frøya;51;49;24;41;30;29;41;29;38;35;
Frøydis;:;5;:;:;4;:;:;11;:;6;
Gabija;9;10;8;7;10;9;11;8;11;9;
Gabriela;9;10;13;18;12;20;18;14;15;16;
Gabriele;5;9;13;9;6;6;4;11;:;10;
Gabriella;21;17;21;30;28;27;20;30;17;16;
Gabrielle;5;11;10;10;8;8;6;:;6;8;
Gina;5;7;13;12;11;15;10;19;17;25;
Greta;8;8;7;10;13;10;12;9;7;6;
Gunhild;9;6;4;5;7;10;4;6;7;6;
Guro;23;12;24;34;32;39;52;50;66;65;
Hafsa;8;14;8;18;12;14;9;17;16;11;
Hailey;14;12;5;10;8;6;7;:;:;:;
Halima;7;9;5;11;6;4;5;6;9;4;
Hamdi;:;:;:;4;6;:;:;5;4;10;
Hana;8;7;12;12;19;14;14;12;8;8;
Hanan;7;5;6;10;6;6;8;7;9;9;
Hanna;153;165;172;191;204;185;216;188;204;229;
Hannah;79;89;116;117;124;128;166;180;191;200;
Hanne;22;26;22;30;22;36;45;47;57;76;
Hedda;209;212;190;217;179;213;186;228;231;267;
Hedvig;31;47;44;53;30;39;30;43;32;30;
Heidi;15;20;29;33;18;28;25;25;22;29;
Helen;9;12;10;11;7;13;13;11;11;12;
Helena;45;61;71;74;71;82;64;71;73;88;
Helene;92;86;111;99;120;127;129;200;174;221;
Helin;11;13;5;7;9;10;11;9;12;9;
Helle;51;41;67;60;49;54;48;57;50;52;
Helmine;8;11;:;4;8;8;7;7;:;4;
Hennie;47;48;44;26;31;19;17;26;16;17;
Henny;20;32;30;28;20;19;25;13;15;12;
Henriette;33;42;36;37;59;85;73;73;85;96;
Henrikke;9;6;7;4;6;:;9;12;5;12;
Hermine;76;89;93;100;87;61;54;47;44;57;
Hilde;5;5;:;11;8;7;6;9;11;6;
Iben;111;94;92;96;80;57;51;64;73;75;
Ida;263;292;297;330;320;385;429;426;404;422;
Idun;12;9;9;8;16;12;13;13;17;12;
Idunn;8;15;11;8;7;16;5;5;9;7;
Iman;8;18;19;14;20;11;25;19;20;26;
Ina;16;15;33;35;24;40;43;44;46;64;
Inaya;8;10;13;12;6;5;5;:;:;:;
Ine;27;29;43;29;37;41;55;44;41;47;
Ines;10;8;22;15;12;9;19;13;8;7;
Inga;22;29;24;26;27;15;25;32;31;17;
Ingebjørg;6;4;6;6;11;10;4;14;11;11;
Ingeborg;85;82;96;97;99;104;123;129;142;140;
Ingelin;:;6;6;5;5;7;5;:;11;6;
Inger;27;16;12;20;21;26;26;23;21;37;
Ingrid;250;306;324;353;357;399;385;362;379;394;
Ingvild;30;37;37;48;37;44;50;48;58;50;
Iqra;6;4;:;4;5;7;5;6;4;10;
Irene;9;9;5;4;11;7;12;10;6;13;
Iris;46;53;56;37;45;63;48;33;30;27;
Irmelin;:;12;6;10;10;7;6;4;5;:;
Isa;11;10;5;10;17;14;14;23;10;12;
Isabel;38;56;43;76;70;53;66;64;64;84;
Isabell;47;76;71;76;74;61;55;66;74;60;
Isabella;105;119;137;135;133;151;115;121;96;69;
Isabelle;38;33;45;41;41;32;41;42;41;29;
Iselin;21;30;28;48;47;70;85;81;90;100;
Isra;17;10;13;13;7;9;8;4;8;8;
Jana;5;11;7;10;10;13;4;6;7;9;
Janne;:;9;:;6;7;13;14;15;12;19;
Jasmin;18;10;20;15;12;20;16;15;22;16;
Jasmine;4;8;13;8;13;10;10;5;20;7;
Jennie;13;12;11;12;17;17;13;11;7;8;
Jennifer;4;6;8;5;11;11;12;7;8;8;
Jenny;242;224;202;186;214;216;203;175;146;187;
Jessica;16;24;21;35;34;45;27;44;45;38;
Joanna;5;8;6;11;7;7;:;6;:;:;
Johanna;78;70;87;76;75;86;82;74;75;70;
Johanne;96;108;104;111;97;117;125;114;127;124;
Josefine;91;80;113;109;95;96;94;87;86;85;
Josephine;8;11;19;19;13;7;12;12;11;11;
Julia;135;131;177;182;177;163;178;171;174;145;
Juliane;:;4;10;6;:;10;11;11;18;16;
Julianne;9;:;13;10;10;11;14;16;18;13;
Julie;230;296;304;293;341;346;377;358;424;452;
June;13;17;23;25;27;36;29;32;45;28;
Juni;:;4;6;:;4;15;11;11;8;11;
Kaia;23;20;31;18;32;31;38;59;43;45;
Kaisa;13;16;11;12;18;23;17;25;29;24;
Kaja;74;70;83;89;89;122;130;120;143;153;
Kajsa;12;10;13;11;16;17;31;26;24;27;
Kamila;10;:;5;6;6;5;5;6;4;5;
Kamile;6;11;13;9;10;10;14;9;12;11;
Kamilla;22;25;22;27;23;32;33;49;43;48;
Karen;22;27;45;43;33;50;46;50;47;53;
Kari;13;15;25;31;23;19;30;29;30;28;
Karianne;:;4;6;9;7;8;7;11;11;13;
Karin;4;12;10;9;9;8;5;4;9;7;
Karina;23;21;11;16;15;25;22;30;30;40;
Karine;6;:;:;10;5;6;6;5;8;9;
Karla;10;10;11;4;7;9;9;5;5;4;
Karolina;7;18;13;22;17;18;27;22;14;12;
Karoline;82;65;105;100;99;118;130;120;122;124;
Katarina;9;17;9;:;14;15;11;12;7;20;
Katharina;:;4;4;5;6;:;5;9;10;14;
Kathrine;4;:;8;5;:;7;10;11;7;7;
Katinka;:;:;7;:;:;6;6;6;11;4;
Katja;:;:;:;4;:;4;:;8;10;13;
Katrina;:;7;4;:;4;4;5;7;:;10;
Katrine;8;4;5;9;13;17;23;17;33;26;
Kaya;7;4;:;8;7;6;7;11;12;8;
Kayla;7;7;7;6;11;6;8;8;6;4;
Khadija;10;8;11;15;6;7;7;11;6;6;
Kine;5;14;12;25;23;34;27;45;48;60;
Kira;8;6;8;11;6;14;7;17;14;10;
Kjersti;4;8;5;:;8;6;4;7;13;16;
Klara;62;46;47;52;42;37;38;32;19;19;
Klaudia;6;:;:;4;:;6;8;8;10;:;
Kornelia;41;24;28;26;31;30;20;23;14;15;
Kristiane;6;9;11;5;17;18;16;18;18;22;
Kristin;18;24;23;20;28;38;35;34;54;47;
Kristina;39;28;23;52;45;45;52;50;67;73;
Kristine;44;45;47;63;70;82;96;108;104;144;
Laiba;:;:;:;5;7;11;7;8;7;15;
Laila;10;6;11;14;10;12;8;11;15;7;
Lana;16;15;13;15;19;10;12;13;21;16;
Lara;17;23;23;25;25;28;23;16;16;13;
Laura;50;48;37;44;48;39;36;42;43;29;
Lea;64;63;64;79;77;84;75;87;75;95;
Leah;241;242;218;261;255;268;267;296;256;239;
Leana;11;11;14;11;7;10;13;:;:;:;
Leja;14;15;7;6;11;4;4;:;:;:;
Lena;48;86;67;64;70;66;64;42;33;36;
Lene;10;5;6;9;10;8;19;23;24;18;
Leni;:;13;7;:;7;7;5;10;4;8;
Leona;42;35;35;22;24;28;37;37;28;24;
Leonora;52;51;32;30;46;43;31;28;29;28;
Lerke;12;10;15;19;20;8;16;8;:;:;
Lia;10;13;6;11;10;9;5;:;4;4;
Liana;19;13;7;16;10;18;13;6;7;:;
Liepa;11;:;5;:;8;4;4;4;4;:;
Liliana;20;18;9;13;7;8;9;4;:;:;
Lilja;40;53;62;59;35;54;43;33;22;15;
Lilje;14;16;16;13;11;12;7;6;:;:;
Lilli;27;29;16;28;22;18;25;14;23;14;
Lillian;14;18;19;17;18;16;12;11;7;12;
Lillie;11;4;4;8;8;5;:;4;:;:;
Lilly;176;172;160;173;121;119;97;73;60;46;
Lily;48;50;41;55;43;28;37;21;16;16;
Lina;64;52;59;81;79;81;78;88;92;69;
Linda;9;6;11;9;16;14;22;23;19;15;
Linde;12;9;17;12;7;9;12;6;5;:;
Line;21;14;20;31;29;32;30;39;34;41;
Linea;29;41;44;60;52;74;68;97;70;54;
Linn;23;16;17;18;21;37;31;50;40;49;
Linnea;233;277;266;356;318;389;396;504;326;276;
Lisa;49;54;62;73;92;85;111;95;91;116;
Lise;18;17;15;18;23;28;33;34;24;34;
Liv;80;79;64;62;76;84;82;68;73;59;
Liva;19;22;18;19;27;24;20;17;19;19;
Live;138;132;149;177;123;114;101;92;68;110;
Livia;16;11;15;14;11;15;5;4;:;4;
Lone;19;20;26;26;27;38;25;25;44;32;
Lotta;26;30;39;52;48;42;34;41;31;15;
Lotte;68;79;78;85;63;72;68;58;47;61;
Louisa;11;8;8;7;8;5;7;6;7;7;
Louise;83;68;67;61;66;70;60;51;48;58;
Lovise;24;27;25;25;25;19;22;15;23;19;
Luca;:;4;:;10;6;:;4;:;7;:;
Lucia;6;8;12;9;13;11;5;10;7;4;
Lucy;11;11;9;10;10;7;12;9;10;7;
Luka;11;:;11;8;:;4;:;:;:;:;
Luna;80;55;62;72;55;47;72;46;53;33;
Lycke;17;18;23;8;12;13;5;:;:;:;
Lydia;27;36;36;28;16;19;21;14;24;14;
Lykke;81;80;105;91;87;82;65;41;28;19;
Lærke;9;6;7;:;9;5;11;6;:;:;
Madeleine;43;38;49;52;52;44;59;68;59;60;
Madelen;66;63;73;56;110;61;81;85;73;88;
Madelene;:;:;4;5;4;9;11;5;6;12;
Magdalena;4;9;8;4;12;11;15;16;12;8;
Maia;33;35;40;35;58;50;42;45;52;40;
Maida;10;11;15;12;7;12;6;4;:;:;
Maiken;50;53;41;67;66;65;56;57;55;37;
Maja;199;218;217;229;263;275;286;214;232;209;
Malak;4;8;10;13;12;10;11;5;5;7;
Malena;9;6;9;9;8;6;15;6;11;17;
Malene;35;39;50;47;66;58;61;76;81;81;
Mali;30;45;36;52;52;59;85;31;21;15;
Malin;136;135;147;173;196;191;259;251;271;311;
Maren;61;58;80;84;88;119;115;129;147;180;
Margit;11;14;17;6;8;10;13;5;10;11;
Margrete;6;:;9;7;5;6;9;9;13;8;
Margrethe;14;13;7;24;17;23;22;24;26;26;
Mari;119;118;121;136;174;172;160;198;169;184;
Maria;177;210;240;241;291;272;342;360;371;377;
Mariam;19;27;21;20;31;25;27;17;25;12;
Marianne;4;10;7;11;6;7;16;20;24;14;
Marie;196;185;188;212;217;238;221;230;230;232;
Mariel;4;5;6;5;9;5;12;11;15;8;
Mariell;18;33;27;38;27;45;38;46;40;33;
Marielle;12;20;28;26;27;33;44;30;30;32;
Marina;11;14;11;7;15;13;15;18;15;23;
Marion;22;30;28;23;22;26;17;18;22;23;
Marit;18;14;21;13;24;24;19;24;22;40;
Marita;6;5;7;7;7;12;9;9;15;28;
Marlene;8;9;9;19;8;20;19;12;13;19;
Marta;11;11;21;21;30;27;16;10;28;22;
Marte;27;40;48;50;66;55;81;95;100;134;
Martha;9;13;16;18;24;21;26;29;26;20;
Marthe;13;28;22;25;27;35;42;60;70;61;
Marthine;:;:;6;:;:;8;9;9;11;5;
Martina;5;8;6;5;5;9;11;7;6;7;
Martine;115;124;146;133;169;215;259;223;198;207;
Martyna;7;8;8;8;10;10;14;13;21;10;
Marwa;9;8;7;4;10;10;4;10;11;9;
Mary;9;:;4;4;10;8;8;6;12;12;
Maryam;17;25;25;29;21;25;18;14;16;15;
Mathea;117;130;141;152;154;160;160;149;129;147;
Mathilda;8;23;17;19;16;17;19;15;8;8;
Mathilde;174;209;217;229;234;224;201;243;203;192;
Matilda;26;34;33;22;29;30;23;27;11;14;
Matilde;49;64;64;72;57;80;70;89;84;78;
Maud;9;15;9;10;7;10;9;6;4;5;
May;7;11;4;13;5;11;15;13;19;20;
Maya;69;78;90;61;80;94;90;73;63;83;
Medina;5;12;14;6;15;12;5;8;5;:;
Melina;41;26;30;27;29;19;31;19;23;22;
Melinda;4;4;4;4;8;7;11;:;7;:;
Melisa;:;:;6;6;5;6;8;9;10;10;
Melissa;27;33;44;52;42;36;43;28;28;26;
Mia;258;268;264;255;342;284;283;339;313;278;
Michelle;49;39;57;62;45;56;86;89;74;68;
Mie;107;184;134;112;119;115;96;92;70;57;
Mikaela;9;10;5;8;6;10;6;7;5;:;
Mila;21;47;28;19;21;9;8;8;:;4;
Milana;11;8;10;10;5;:;4;4;:;:;
Milena;19;24;13;14;14;11;9;8;8;11;
Milja;5;:;4;5;:;:;10;4;:;:;
Milla;70;70;70;78;82;99;133;120;49;39;
Mille;122;112;145;153;132;147;151;155;79;86;
Millie;21;15;6;12;6;4;10;4;4;4;
Mina;117;136;153;132;168;143;189;211;247;227;
Mira;43;35;27;31;26;33;47;44;65;54;
Miriam;48;34;39;61;52;58;74;68;65;65;
Moa;:;4;9;10;7;4;12;9;10;10;
Molly;36;21;23;34;40;30;26;12;13;10;
Mona;12;11;12;22;17;13;22;18;16;29;
Monika;:;:;5;4;10;6;6;8;7;6;
Muna;5;:;4;:;12;:;6;9;4;8;
Nadia;25;34;33;31;29;35;43;34;25;27;
Najma;:;4;4;4;11;4;5;15;14;13;
Nanna;7;13;8;10;11;14;12;9;11;12;
Naomi;35;35;36;29;27;29;25;24;18;20;
Natalia;30;28;37;21;28;36;31;28;26;25;
Natalie;48;52;53;67;70;66;92;93;84;79;
Natasha;4;:;4;8;:;6;6;4;15;7;
Nathalie;60;63;71;96;86;102;89;108;92;96;
Nawal;4;12;:;4;:;4;5;4;5;9;
Nela;6;10;5;:;:;4;6;:;:;:;
Nelia;18;9;4;4;:;5;:;4;:;:;
Nellie;17;8;5;5;13;7;7;10;9;:;
Nelly;30;27;26;21;26;23;16;16;11;10;
Nicole;9;12;20;12;13;12;20;17;16;14;
Nicoline;43;32;23;43;50;47;73;28;9;16;
Nikola;14;17;15;14;15;13;14;9;17;22;
Nikoline;32;38;34;29;35;25;38;17;22;13;
Nila;8;6;6;10;7;8;19;12;11;4;
Nina;24;36;48;33;42;41;52;38;39;43;
Noelle;10;13;5;5;6;:;:;:;:;:;
Noor;20;15;16;30;20;24;16;18;18;5;
Nora;417;431;316;424;423;406;451;407;393;409;
Norah;22;32;26;31;25;29;18;30;33;27;
Nova;24;21;28;11;13;12;7;6;:;6;
Oda;201;184;193;175;184;187;196;209;237;234;
Olava;33;23;12;17;16;16;13;5;4;:;
Olea;36;31;37;29;17;21;24;17;13;9;
Oline;103;89;79;94;64;100;64;75;60;44;
Olivia;349;298;265;239;217;187;158;113;88;55;
Oliwia;8;9;16;12;19;25;26;25;29;30;
Othelia;12;8;5;:;5;5;:;:;:;:;
Othelie;17;12;13;16;13;5;12;8;4;4;
Othilie;45;40;26;33;17;26;19;24;14;18;
Otilie;17;13;15;12;11;9;14;13;5;8;
Patrycja;:;:;4;5;:;7;6;5;10;8;
Paula;18;6;8;7;7;10;17;10;7;16;
Paulina;7;7;6;7;7;5;19;15;7;8;
Pauline;10;13;10;10;12;7;8;10;18;15;
Pernille;104;132;137;136;161;184;163;114;139;135;
Petra;23;28;21;24;18;15;9;19;13;13;
Pia;53;46;54;55;49;57;76;64;66;68;
Rachel;7;:;11;8;:;6;5;4;11;9;
Ragna;10;11;12;12;7;14;11;11;18;10;
Ragnhild;22;24;26;18;21;30;34;31;34;40;
Rakel;42;35;44;35;28;34;32;36;45;37;
Randi;6;5;8;4;7;10;7;4;7;14;
Rania;6;7;10;12;13;:;9;9;9;5;
Rebecca;18;19;26;25;38;37;39;40;54;47;
Rebecka;:;:;4;6;7;5;5;4;12;14;
Rebekka;37;35;29;34;42;31;40;45;59;62;
Regine;7;8;15;9;10;12;16;24;22;18;
Renate;:;:;:;:;:;5;7;6;7;11;
Rikke;40;44;43;47;52;68;49;49;48;72;
Ronja;91;95;95;105;101;106;105;93;109;118;
Rose;8;7;8;7;10;9;9;11;4;4;
Runa;30;26;25;31;22;17;18;18;14;24;
Ruth;10;14;20;14;23;25;14;28;15;19;
Sabrin;5;4;6;:;5;5;4;10;6;5;
Sabrina;14;8;7;9;11;14;9;10;12;10;
Safa;6;12;7;11;10;4;11;5;6;:;
Saga;81;74;55;51;22;32;25;18;26;17;
Sahar;:;:;:;:;:;10;5;5;6;6;
Salma;18;19;25;28;21;32;21;23;21;23;
Samantha;14;12;5;7;16;7;9;6;6;13;
Samira;4;4;9;15;11;8;18;8;14;11;
Sandra;39;50;49;55;54;70;89;85;102;122;
Sanna;106;81;64;68;50;77;84;53;50;56;
Sannah;14;5;7;11;4;:;4;4;4;6;
Sanne;15;27;33;24;22;42;47;41;44;42;
Sara;276;272;312;239;293;313;332;329;372;373;
Sarah;103;115;126;117;133;140;139;147;177;148;
Savannah;19;24;19;18;17;24;12;8;10;7;
Selena;11;16;7;6;10;5;4;4;:;4;
Selin;5;4;6;7;9;7;9;10;5;9;
Selina;11;22;25;15;18;23;18;16;16;10;
Seline;10;8;19;13;13;11;6;8;5;10;
Selma;172;182;150;184;180;222;234;244;215;198;
Serina;8;6;14;11;12;15;9;11;11;8;
Serine;16;18;10;16;9;22;10;20;11;17;
Sienna;32;48;40;28;33;29;33;25;20;17;
Signe;93;115;118;113;119;100;106;99;82;98;
Sigrid;111;129;146;145;123;116;114;104;131;94;
Sigrun;7;6;4;5;6;:;4;10;5;5;
Siham;12;6;6;12;10;7;16;11;8;4;
Silja;9;24;14;17;26;17;23;20;16;17;
Silje;55;38;53;71;101;104;126;158;134;149;
Simone;7;9;6;17;15;17;19;12;17;17;
Sina;20;24;13;24;27;27;30;32;25;33;
Sine;6;4;:;8;14;8;6;9;10;9;
Siren;8;6;12;8;9;:;13;6;11;12;
Siri;22;33;42;33;39;41;46;44;50;48;
Siril;:;9;6;6;:;5;8;10;12;9;
Sofia;249;232;229;251;242;177;193;145;139;99;
Sofie;322;323;348;373;373;388;381;356;350;293;
Sofija;15;10;13;10;7;7;7;7;5;:;
Sol;14;18;22;18;15;29;26;33;16;21;
